id,title,author,text,label
1,Stock Market Rises Amid Economic Recovery,Daniel White,The initiative aims to improve citizens' well-being by providing accessible medical care for all.,0
2,Apple Plans to Implant Chips in Humans by 2030,Chris Evans,Reports say the next generation of humans will be fully monitored through implants.,1
3,Scientists Develop AI That Detects Diseases Early,Michael Brown,The biodegradable alternative is expected to reduce plastic waste by 70% by 2035.,0
4,Aliens Found Living on the Moon,Emily Davis,Strange energy readings have been detected coming from the ancient site.,1
5,Man Time Travels to 2500 and Returns With Proof,Emily Davis,Rumors suggest Musk intends to conduct secret experiments away from Earth's jurisdiction.,1
6,Scientists Develop AI That Detects Diseases Early,Daniel White,Musk's latest announcement could revolutionize the renewable energy sector.,0
7,Local Startup Wins International Innovation Award,Jessica Miller,Economists predict a steady recovery as industries adapt to post-pandemic conditions.,0
8,Tech Giants Join Hands to Fight Climate Change,Daniel White,This declaration follows continuous efforts by healthcare workers worldwide.,0
9,Elon Musk Buys the Moon for Private Experiments,Jessica Miller,Scientists accidentally created a pill that stops cell aging entirely.,1
10,Tech Giants Join Hands to Fight Climate Change,Laura Green,The award-winning project focuses on sustainable and eco-friendly solutions for global challenges.,0
11,Aliens Found Living on the Moon,Jessica Miller,Reports say the next generation of humans will be fully monitored through implants.,1
12,Ancient Pyramid Emits Mysterious Energy Beams,Daniel White,An anonymous scientist leaked photos proving the earth has no curvature.,1
13,Stock Market Rises Amid Economic Recovery,Michael Brown,"Preliminary trials show promising results, with over 95% success rate in patients.",0
14,Stock Market Rises Amid Economic Recovery,John Smith,The AI system was trained using millions of medical images to improve diagnostic accuracy.,0
15,NASA Discovers New Earth-like Planet,Daniel White,Experts believe this partnership could drastically reduce global emissions over the next decade.,0
16,Ancient Pyramid Emits Mysterious Energy Beams,Michael Brown,Conspiracy theorists believe the government has been testing the device secretly for years.,1
17,Government Launches Free Healthcare Plan,Chris Evans,Experts believe this partnership could drastically reduce global emissions over the next decade.,0
18,Aliens Found Living on the Moon,Emily Davis,Strange energy readings have been detected coming from the ancient site.,1
19,NASA Discovers New Earth-like Planet,Mark Lee,Musk's latest announcement could revolutionize the renewable energy sector.,0
20,Aliens Found Living on the Moon,Michael Brown,Reports say the next generation of humans will be fully monitored through implants.,1
21,Aliens Found Living on the Moon,Michael Brown,Eyewitnesses report seeing futuristic machines appearing in major cities.,1
22,Scientists Confirm Earth is Flat After All,Sarah Johnson,Strange energy readings have been detected coming from the ancient site.,1
23,Apple Plans to Implant Chips in Humans by 2030,Laura Green,An anonymous scientist leaked photos proving the earth has no curvature.,1
24,Stock Market Rises Amid Economic Recovery,Mark Lee,"According to official reports, the recent discovery marks a significant milestone in scientific history.",0
25,Cure for Cancer Hidden by Big Pharma,Chris Evans,An anonymous scientist leaked photos proving the earth has no curvature.,1
26,Stock Market Rises Amid Economic Recovery,Emily Davis,Experts believe this partnership could drastically reduce global emissions over the next decade.,0
27,Local Startup Wins International Innovation Award,Chris Evans,Musk's latest announcement could revolutionize the renewable energy sector.,0
28,NASA Discovers New Earth-like Planet,Chris Evans,The initiative aims to improve citizens' well-being by providing accessible medical care for all.,0
29,Man Time Travels to 2500 and Returns With Proof,Rachel Adams,Scientists accidentally created a pill that stops cell aging entirely.,1
30,NASA Discovers New Earth-like Planet,Sarah Johnson,The AI system was trained using millions of medical images to improve diagnostic accuracy.,0
31,New Pill Makes You Live Forever,John Smith,A leaked document reveals the government's plan to create a robotic police force.,1
32,Ancient Pyramid Emits Mysterious Energy Beams,Sarah Johnson,Eyewitnesses report seeing futuristic machines appearing in major cities.,1
33,Local Startup Wins International Innovation Award,Mark Lee,The biodegradable alternative is expected to reduce plastic waste by 70% by 2035.,0
34,WHO Declares End to Global Health Emergency,John Smith,Experts believe this partnership could drastically reduce global emissions over the next decade.,0
35,Scientists Confirm Earth is Flat After All,Mark Lee,Conspiracy theorists believe the government has been testing the device secretly for years.,1
36,Secret Device Allows People to Read Minds,Daniel White,Sources claim the discovery was covered up by global leaders to prevent mass panic.,1
37,Scientists Confirm Earth is Flat After All,Mark Lee,Conspiracy theorists believe the government has been testing the device secretly for years.,1
38,Secret Device Allows People to Read Minds,Jessica Miller,Rumors suggest Musk intends to conduct secret experiments away from Earth's jurisdiction.,1
39,Stock Market Rises Amid Economic Recovery,John Smith,Economists predict a steady recovery as industries adapt to post-pandemic conditions.,0
40,Man Time Travels to 2500 and Returns With Proof,Laura Green,Strange energy readings have been detected coming from the ancient site.,1
41,NASA Discovers New Earth-like Planet,Jessica Miller,"According to official reports, the recent discovery marks a significant milestone in scientific history.",0
42,Stock Market Rises Amid Economic Recovery,Sarah Johnson,"According to official reports, the recent discovery marks a significant milestone in scientific history.",0
43,Tech Giants Join Hands to Fight Climate Change,Michael Brown,This declaration follows continuous efforts by healthcare workers worldwide.,0
44,Scientists Confirm Earth is Flat After All,Emily Davis,Scientists accidentally created a pill that stops cell aging entirely.,1
45,Elon Musk Announces Breakthrough in Battery Technology,Sarah Johnson,"Preliminary trials show promising results, with over 95% success rate in patients.",0
46,NASA Discovers New Earth-like Planet,Sarah Johnson,"According to official reports, the recent discovery marks a significant milestone in scientific history.",0
47,NASA Discovers New Earth-like Planet,Laura Green,"Preliminary trials show promising results, with over 95% success rate in patients.",0
48,New Vaccine Found Effective Against Virus,Laura Green,The award-winning project focuses on sustainable and eco-friendly solutions for global challenges.,0
49,Researchers Create Biodegradable Plastic Alternative,John Smith,The initiative aims to improve citizens' well-being by providing accessible medical care for all.,0
50,Cure for Cancer Hidden by Big Pharma,Michael Brown,Strange energy readings have been detected coming from the ancient site.,1
